movie_id,title,director,release_year,genre,duration_minutes,budget_million,language,created_at
M1,The Silent Code,Ana Smith,2007,Drama,116,45.4,German,2016-11-24
M2,The Godfather,Daniel Brown,2017,Drama,89,6.9,Portuguese,2018-09-20
M3,The Dark Knight,Steven Evans,2002,Drama,176,130.3,French,2021-04-15
M4,Pulp Fiction,Nora Martins,1990,Drama,105,139.9,Spanish,2019-03-07
M5,Forrest Gump,Lucas Ribeiro,1995,Drama,133,20.2,Italian,2020-10-09
M6,Fight Club,Christopher Collins,2024,Drama,100,194.7,Japanese,2016-09-10
M7,Inception,Linda Alvarez,2002,Drama,175,14.8,German,2018-05-03
M8,The Matrix,Sarah Ribeiro,2014,Drama,120,91.2,Italian,2020-03-12
M9,Goodfellas,Marina Miller,2007,Drama,174,187.4,German,2016-10-21
M10,Se7en,Julia Evans,2005,Drama,105,93.0,Spanish,2023-04-22
M11,Interstellar,Lucas Johnson,2004,Drama,89,161.2,Japanese,2019-02-07
M12,Parasite,Nora Tanaka,2003,Drama,168,100.3,German,2022-03-09
M13,Whiplash,Carlos Scott,2024,Drama,118,149.7,Japanese,2024-07-12
M14,Gladiator,Sarah Costa,2022,Drama,148,19.1,English,2016-03-21
M15,Titanic,Julia King,1994,Drama,134,76.9,Japanese,2023-05-18
M16,The Prestige,Steven Ribeiro,2024,Drama,119,154.0,Spanish,2016-05-14
M17,Memento,Julia Collins,1990,Drama,177,175.3,Spanish,2023-03-17
M18,The Departed,Ana Silva,2022,Drama,162,40.6,Spanish,2017-09-25
M19,Joker,Laura Smith,2010,Drama,147,4.9,Spanish,2019-04-02
M20,The Lion King,Sarah Young,1995,Drama,95,146.6,Italian,2016-09-25
M21,Saving Private Ryan,Carlos Costa,2020,Drama,155,33.9,French,2024-07-07
M22,The Green Mile,Daniel Miller,2009,Drama,136,199.0,German,2020-08-17
M23,Braveheart,Akira Ribeiro,2005,Drama,113,13.7,English,2024-09-08
M24,La La Land,Nora Scott,1990,Drama,94,141.9,English,2018-02-02
M25,A Beautiful Mind,Lucas Brown,2022,Drama,115,56.4,Japanese,2018-09-05
M26,The Pianist,Nora Young,2020,Drama,116,157.1,Italian,2021-04-04
M27,No Country for Old Men,Ana King,2012,Drama,139,82.8,Italian,2015-11-21
M28,Shutter Island,Ana Johnson,2015,Drama,178,68.5,Italian,2016-04-07
M29,The Truman Show,Michael Evans,2018,Drama,102,85.0,Spanish,2022-04-28
M30,Her,Patricia Collins,1996,Drama,91,130.8,French,2015-02-25
M31,Moonlight,Sarah Kim,2016,Drama,147,96.8,Italian,2021-01-06
M32,Arrival,John Smith,2014,Drama,118,185.4,Italian,2022-05-14
M33,Blade Runner 2049,Daniel Hansen,1999,Drama,109,60.0,English,2024-12-18
M34,Mad Max: Fury Road,Christopher Tanaka,1993,Drama,91,117.3,French,2023-03-02
M35,The Revenant,Laura Brown,2001,Drama,93,119.4,German,2018-07-04
M36,Django Unchained,Sarah Young,1992,Crime,164,17.3,German,2024-10-17
M37,The Social Network,David Miller,2010,War,115,53.9,Portuguese,2019-08-11
M38,1917,Steven Collins,1996,Adventure,94,108.0,French,2019-03-12
M39,The Imitation Game,Sarah Alvarez,2008,Adventure,105,88.2,French,2019-10-26
M40,Spotlight,Steven Evans,2009,Fantasy,169,21.6,Portuguese,2019-02-04
M41,Casablanca,Carlos Martins,2008,Fantasy,162,42.9,Spanish,2018-11-21
M42,Rocky,Laura Hansen,2006,Thriller,91,19.4,Japanese,2019-01-01
M43,Alien,Carlos Martins,2000,War,179,88.9,German,2021-09-01
M44,Aliens,Patricia Costa,2024,Adventure,89,167.1,French,2023-03-14
M45,The Silence of the Lambs,Christopher Silva,2013,Action,90,179.9,Portuguese,2018-11-04
M46,Gone Girl,Daniel King,1999,War,115,173.1,Italian,2017-07-01
M47,The Sixth Sense,Lucas King,2005,Action,119,32.7,German,2016-07-28
M48,The Notebook,Pedro Scott,2002,Sci-Fi,143,70.6,Italian,2018-04-01
M49,Amélie,John Tanaka,2007,Romance,93,193.4,Spanish,2020-11-17
M50,City of God,Daniel Tanaka,1991,Mystery,99,175.5,Spanish,2017-10-09
M51,Pan's Labyrinth,Ana Turner,2017,Sci-Fi,129,146.0,Spanish,2021-10-17
M52,Life Is Beautiful,John Young,2002,Adventure,117,9.8,Japanese,2015-09-26
M53,Coco,Michael Alvarez,2017,Fantasy,93,189.8,Spanish,2024-06-22
M54,Toy Story,Emma Parker,2009,Adventure,170,82.3,Japanese,2019-09-05
M55,Finding Nemo,Sofia Moore,2001,Romance,163,114.3,Japanese,2023-01-10
M56,Up,Michael King,2010,Thriller,144,88.9,German,2018-09-16
M57,Wall-E,Patricia Silva,2022,Action,169,127.0,Spanish,2016-04-22
M58,Soul,Sarah Miller,1999,Thriller,88,10.2,Japanese,2024-02-15
M59,Inside Out,Nora Miller,2014,Mystery,148,80.5,Portuguese,2015-02-25
M60,The Incredibles,Sarah Kim,2023,Mystery,144,11.0,Portuguese,2016-08-05
M61,Monsters Inc,Laura Evans,2010,Documentary,141,122.9,German,2023-07-27
M62,Ratatouille,Akira Kim,2020,Fantasy,142,52.6,Portuguese,2019-09-16
M63,Frozen,David Collins,1994,Romance,176,57.9,Spanish,2020-06-18
M64,Moana,Carlos Costa,2004,Adventure,134,139.1,German,2018-02-14
M65,Encanto,Lucas Evans,2019,Mystery,138,13.4,Italian,2021-07-25
M66,Avatar,Steven Young,2014,Crime,146,2.2,Spanish,2019-07-28
M67,Avatar: The Way of Water,Daniel Evans,2004,Mystery,147,44.7,Japanese,2022-01-13
M68,Black Panther,John Kim,2019,War,101,196.2,French,2015-07-19
M69,Iron Man,Steven Brown,2017,Crime,102,173.5,Portuguese,2015-05-13
